year,x1_mean,x1_lower,x1_upper,x2_mean,x2_lower,x2_upper,x_mean,x_lower,x_upper,y1_mean,y1_lower,y1_upper,y2_mean,y2_lower,y2_upper,y_mean,y_lower,y_upper,nsamples
1980,-18.901082136666666,-20.21975495358648,-17.58240931974685,-20.357417333333334,-21.680953184131884,-19.033881482534785,-19.629249735,-20.563449490982336,-18.69504997901766,39.487019294666666,39.23052565979943,39.7435129295339,39.093949314,38.83752944958676,39.35036917841324,39.29048430433334,39.109128358506794,39.471840250159886,15000
1981,-19.078264460173973,-20.29611540350505,-17.860413516842897,-19.483410278583207,-20.707884449020057,-18.258936108146358,-19.28083736937859,-20.144335464255967,-18.417339274501217,39.57181382511798,39.33802726575534,39.80560038448061,39.086724660299055,38.84995654130462,39.32349277929349,39.32926924270851,39.16288039496575,39.49565809045128,17589
1982,-18.423685178897497,-19.55119754709664,-17.296172810698355,-18.835625154715494,-19.974512962180125,-17.696737347250863,-18.629655166806494,-19.43096123572891,-17.82834909788408,39.62895325124611,39.41005731154444,39.84784919094778,39.08687967082861,38.86473512734744,39.30902421430978,39.357916461037355,39.20195854597258,39.51387437610213,20263
1983,-18.43528005380375,-19.493278298309978,-17.377281809297525,-18.238979090187428,-19.31382527010705,-17.164132910267806,-18.33712957199559,-19.09122801717504,-17.583031126816138,39.82850676207277,39.62604704604908,40.03096647809646,39.35794879779493,39.153035422001636,39.56286217358823,39.59322777993385,39.449180751941824,39.73727480792587,22675
1984,-17.511009349074147,-18.51962075422749,-16.502397943920805,-17.222485368723213,-18.248535688439265,-16.19643504900716,-17.36674735889868,-18.086136455622963,-16.6473582621744,39.9256695908466,39.73220105473967,40.11913812695354,39.40388753173769,39.206201181749,39.601573881726374,39.664778561292145,39.52645727731063,39.803099845273664,24734
1985,-17.78579617744427,-18.74441362831622,-16.827178726572317,-17.230417591039505,-18.205931571149137,-16.254903610929873,-17.508106884241887,-18.191955686136186,-16.824258082347587,40.011109025601414,39.82840281410278,40.19381523710005,39.459691391157214,39.27154302623253,39.6478397560819,39.73540020837931,39.604248721442744,39.86655169531588,27186
1986,-17.185645346682,-18.109695683269255,-16.261595010094748,-16.416915680173172,-17.35214010824337,-15.481691252102975,-16.801280513427585,-17.45865258217239,-16.14390844468278,39.84493289961442,39.66561518970429,40.02425060952455,39.35996344517351,39.17647051624282,39.5434563741042,39.60244817239397,39.474151859236926,39.730744485551014,29566
1987,-16.703287798937808,-17.59337633971996,-15.813199258155656,-16.07861588479306,-16.980224401761145,-15.177007367824972,-16.390951841865434,-17.02443015300047,-15.7574735307304,39.78269655793344,39.608496331636935,39.95689678422995,39.39929919989944,39.22260709148295,39.57599130831593,39.59099787891645,39.46692663633965,39.715069121493244,31821
1988,-15.222039055094431,-16.095421900840304,-14.34865620934856,-13.945685902201369,-14.830707107816012,-13.060664696586725,-14.583862478647898,-15.20558473038051,-13.962140226915286,39.523726084746784,39.347874126047465,39.6995780434461,39.230564713099966,39.0541190245424,39.40701040165753,39.377145398923375,39.252584212236066,39.501706585610684,33252
1989,-14.45610892022744,-15.302126247830913,-13.610091592623967,-13.068352798232281,-13.927510408924192,-12.20919518754037,-13.762230859229861,-14.365140729219442,-13.15932098924028,39.54630162528853,39.37687127746385,39.71573197311321,39.191903936835,39.02105394073727,39.362753932932726,39.36910278106177,39.248787409352346,39.489418152771194,35526
1990,-13.373445488694193,-14.195748335756743,-12.551142641631643,-11.773144097896227,-12.604447719086469,-10.941840476705984,-12.57329479329521,-13.15796921522521,-11.98862037136521,39.48733223178217,39.32340724176122,39.65125722180312,39.181767212895444,39.01618524637623,39.34734917941466,39.33454972233881,39.21804490002163,39.45105454465598,38122
1991,-11.69799278293315,-12.491747655421063,-10.904237910445238,-10.050864040171541,-10.852607404837332,-9.24912067550575,-10.874428411552346,-11.438557271379281,-10.31029955172541,39.58868100549997,39.432285825997894,39.74507618500205,39.21032963947374,39.05038782059074,39.37027145835674,39.39950532248685,39.28764883001636,39.51136181495735,41273
1992,-9.863069372144833,-10.629640716109526,-9.096498028180141,-7.7191819573778595,-8.49157454432943,-6.94678937042629,-8.791125664761347,-9.33528111312062,-8.246970216402074,39.54507327137295,39.39226795385734,39.69787858888856,39.176965529176144,39.02055587562195,39.333375182730336,39.36101940027454,39.25168127569177,39.47035752485731,44437
1993,-7.610898606762486,-8.349005854749905,-6.872791358775067,-5.604874839416814,-6.3477355909079165,-4.862014087925711,-6.60788672308965,-7.131528837452089,-6.084244608727211,39.47784003122738,39.32915659242743,39.62652347002733,39.12206962154895,38.97056808957906,39.273571153518844,39.299954826388166,39.19381281421751,39.406096838558824,48355
1994,-6.192959495708562,-6.905794811521759,-5.480124179895365,-3.9125233425519736,-4.628183846760585,-3.1968628383433626,-5.052741419130268,-5.557839098713266,-4.54764373954727,39.47770859870304,39.33450551239007,39.620911685016004,39.0705237060843,38.92322786821151,39.21781954395709,39.27411615239367,39.17139168849209,39.37684061629524,52430
1995,-3.2510817274382853,-3.992388848791254,-2.5097746060853163,-1.287281625050587,-2.0315970718533345,-0.5429661782478394,-2.2691816762444357,-2.7944653193762985,-1.743898033112573,39.37814689295832,39.22966977665326,39.52662400926338,38.867202780048565,38.713025923410484,39.021379636686646,39.12267483650344,39.01563967414847,39.22970999885842,49420
1996,-0.7474060796633161,-1.487498822859746,-0.007313336466885922,1.5849341477182057,0.8443812146890615,2.32548708074735,0.4187640340274451,-0.10477305254207181,0.942301120596962,39.29868877273815,39.1503687293,39.44700881617631,38.696309644367325,38.540003371391364,38.852615917343286,38.99749920855274,38.88974440808255,39.10525400902293,50136
1997,-0.558540460014267,-1.2123133142770008,0.09523239424846663,1.9754933909804238,1.3274898742711752,2.623496907689672,0.7084764654830783,0.2481713987093474,1.1687815322568091,39.164357363715624,39.02893922026259,39.299775507168654,38.66194717650789,38.52149830464363,38.802396048372145,38.91315227011175,38.81559248754469,39.01071205267881,63085
1998,-1.8194605740572436,-2.3934102262135655,-1.2455109219009217,0.17933408450879473,-0.39023406116696946,0.7489022301845589,-0.8200632447742241,-1.2243903445078246,-0.4157361450406237,39.179880502595765,39.060108285860885,39.299652719330645,38.69833014155348,38.57448822948634,38.82217205362061,38.939105322074624,38.85295465696726,39.025255987181986,80323
1999,-2.6573370546391315,-3.18416081467711,-2.130513294601153,-1.5226841175472807,-2.0461550689368773,-0.9992131661576842,-2.0900105860932063,-2.4613565592638635,-1.7186646129225491,39.009796656030026,38.89803203369495,39.1215612783651,38.641848474578076,38.52800564074772,38.75569130840843,38.825822565304044,38.74605058011962,38.905594550488466,94328
