year,citynum,citynum_out,citynum_in
1975,601,394,450
1976,701,479,514
1977,826,568,617
1978,898,624,691
1979,1027,735,797
1980,1155,844,876
1981,1205,877,931
1982,1323,960,1027
1983,1439,1043,1104
1984,1468,1074,1144
1985,1540,1131,1204
1986,1625,1183,1267
1987,1681,1218,1319
1988,1722,1271,1361
1989,1787,1297,1385
1990,1874,1362,1461
1991,1954,1458,1498
1992,2000,1452,1579
1993,2146,1563,1672
1994,2212,1645,1703
1995,2279,1684,1760
1996,2448,1737,1930
1997,2820,1931,2260
1998,3179,2110,2583
1999,3344,2311,2637
2000,3679,2495,2879
2001,3873,2656,3032
2002,4178,2909,3218
2003,4230,2979,3266
2004,4604,3219,3527
2005,4727,3268,3677
2006,5122,3596,3970
2007,5655,3969,4393
2008,6278,4390,4905
2009,6808,4802,5325
2010,7164,5075,5629
2011,7696,5445,6058
2012,8158,5843,6292
2013,8614,6226,6685
2014,9075,6486,7052
2015,9532,6791,7473
2016,10133,7195,7895
2017,10410,7335,8188
2018,11134,7919,8751
2019,11696,8393,9167
2020,12363,8906,9691
2021,13033,9501,10223
2022,13718,9842,10891
