cityid,cityname,country,prnorm,cid
5128581,NYC,US,0.7820070477872368,0
4930956,Boston,US,0.5822492678069665,0
5368361,Los Angeles,US,0.3952381376485223,0
4931972,Cambridge(US),US,0.3609385759029531,0
4887398,Chicago,US,0.3014852875334926,0
4560349,Philadelphia,US,0.300237261339082,0
4347778,Baltimore,US,0.2778023684198256,0
4699066,Houston,US,0.2663907108036126,0
4140963,Washington,US,0.2524335304310824,0
5391811,San Diego,US,0.2482233588058728,0
4180439,Atlanta,US,0.2329345544278994,0
5391959,San Francisco,US,0.2238795523471946,0
5809844,Seattle,US,0.2086781727232169,0
1816670,Beijing,CN,1.0,9
1796236,Shanghai,CN,0.5788328170756426,9
1880252,Singapore,SG,0.3945287922270854,9
1819729,Hong Kong,HK,0.3919707961554808,9
1799962,Nanjing,CN,0.3892313744788322,9
1809858,Guangzhou,CN,0.378249710035059,9
1791247,Wuhan,CN,0.3512503084374689,9
1815286,Chengdu,CN,0.2678618186981562,9
1808926,Hangzhou,CN,0.2539451084007207,9
1790630,Xi'an,CN,0.249134840152495,9
2657896,Zurich,CH,0.2953396202874648,1
2950159,Berlin,DE,0.2763217965029222,1
524901,Moscow,RU,0.2395190241653079,1
2761369,Vienna,AT,0.23625166884453,1
2867714,Munich,DE,0.2264805414136971,1
2759794,Amsterdam,NL,0.2158792803509,1
2643743,London,GB,0.8823150486241296,2
2147714,Sydney,AU,0.3600145226543266,2
2158177,Melbourne,AU,0.353820124466875,2
2653941,Cambridge(GB),GB,0.3201958077067681,2
2640729,Oxford,GB,0.2832888169540845,2
1850147,Tokyo,JP,0.4080496298030809,8
1853909,Osaka,JP,0.1357612769619604,8
1857910,Kyoto,JP,0.1199680693061378,8
2988507,Paris,FR,0.5694198912978824,3
2992166,Montpellier,FR,0.1489825899873013,3
1261481,New Delhi,IN,0.2091613670671259,6
1277333,Bengaluru,IN,0.1541601430423912,6
3117735,Madrid,ES,0.3852353318947927,4
3128760,Barcelona,ES,0.3516470431624972,4
3448439,Sao Paulo,BR,0.3241998958193594,7
2267057,Lisbon,PT,0.1615380261427433,7
6167865,Toronto,CA,0.2843424896798008,10
3173435,Milan,IT,0.3120709415328458,5
1835848,Seoul,KR,0.2984886023251178,12
745044,Istanbul,TR,0.1452191721112941,11
1668341,Taipei,TW,0.1388952825201981,13
