cityid,dg,cc
1864180,1,0.0
8604581,1,0.0
1848169,1,0.0
11611481,1,0.0
230893,1,0.0
3175984,1,0.0
775224,1,0.0
1926142,1,0.0
2509974,1,0.0
2646507,1,0.0
2636967,1,0.0
3011969,1,0.0
2235186,1,0.0
1253918,1,0.0
1268341,1,0.0
2995351,1,0.0
6534223,1,0.0
2871079,1,0.0
1809610,1,0.0
599504,1,0.0
2769171,1,0.0
2634018,1,0.0
4291181,1,0.0
2851946,1,0.0
2991700,1,0.0
5201518,1,0.0
3078807,1,0.0
1848382,1,0.0
3181707,1,0.0
3021778,1,0.0
720988,1,0.0
2653465,1,0.0
3669469,1,0.0
2645525,1,0.0
2756200,1,0.0
5192431,1,0.0
2633540,1,0.0
2859675,1,0.0
11978598,1,0.0
2634387,1,0.0
2742965,1,0.0
5322551,1,0.0
2892786,1,0.0
4820828,1,0.0
4060791,1,0.0
1606376,1,0.0
4815230,1,0.0
2961224,1,0.0
4138011,1,0.0
4746535,1,0.0
6951335,1,0.0
2861923,1,0.0
5188029,1,0.0
2522952,1,0.0
2989629,1,0.0
1002108,1,0.0
1785566,1,0.0
8348046,1,0.0
2927054,1,0.0
766555,1,0.0
3031532,1,0.0
2706057,1,0.0
1787080,1,0.0
3985168,1,0.0
10878299,1,0.0
2332780,1,0.0
1266155,1,0.0
11612562,1,0.0
6092873,1,0.0
11549691,1,0.0
2511215,1,0.0
2850132,1,0.0
6620083,1,0.0
12048142,1,0.0
2649126,1,0.0
1815188,1,0.0
2641619,1,0.0
1279472,1,0.0
3111294,1,0.0
2647388,1,0.0
2634234,1,0.0
2987260,1,0.0
2661871,1,0.0
2914457,1,0.0
10866030,1,0.0
3112875,1,0.0
1185111,1,0.0
2636002,1,0.0
2830100,1,0.0
2780147,1,0.0
1271453,1,0.0
218680,1,0.0
2806501,1,0.0
1808399,1,0.0
2142316,1,0.0
2815605,1,0.0
5220405,1,0.0
6535381,1,0.0
2721768,1,0.0
1278682,1,0.0
3181647,1,0.0
1857558,1,0.0
3319577,1,0.0
5185866,1,0.0
3179664,1,0.0
293310,1,0.0
2153639,1,0.0
2931569,1,0.0
2648017,1,0.0
3018292,1,0.0
4516412,1,0.0
4091755,1,0.0
2861603,1,0.0
2759511,1,0.0
5139732,1,0.0
2611316,1,0.0
336526,1,0.0
3019695,1,0.0
2820697,1,0.0
6534943,1,0.0
1254912,1,0.0
5242023,1,0.0
4235724,1,0.0
2976695,1,0.0
2253277,1,0.0
2661398,1,0.0
650705,1,0.0
3173008,1,0.0
934089,1,0.0
3177522,1,0.0
2129868,1,0.0
3181943,1,0.0
3130716,1,0.0
3179033,1,0.0
2974782,1,0.0
2643628,1,0.0
2837572,1,0.0
4765392,1,0.0
1280541,1,0.0
1784780,1,0.0
2737643,1,0.0
3176312,1,0.0
3174824,1,0.0
2271814,1,0.0
1278176,1,0.0
724893,1,0.0
1799918,1,0.0
4761277,1,0.0
3125994,1,0.0
2643019,1,0.0
1856426,1,0.0
1254346,1,0.0
5010977,1,0.0
4930738,1,0.0
2879758,1,0.0
5992836,1,0.0
2976691,1,0.0
8581647,1,0.0
316165,1,0.0
3446500,1,0.0
2637826,1,0.0
588153,1,0.0
5058233,1,0.0
2817873,1,0.0
2641591,1,0.0
2972694,1,0.0
3182634,1,0.0
2563191,1,0.0
4458175,1,0.0
11919750,1,0.0
3464255,1,0.0
1860095,1,0.0
2645365,1,0.0
2968894,1,0.0
2655580,1,0.0
3009922,1,0.0
2644509,1,0.0
1518518,1,0.0
2653178,1,0.0
1784199,1,0.0
1269177,1,0.0
5003374,1,0.0
5360403,1,0.0
5412939,1,0.0
4790025,1,0.0
2900740,1,0.0
3081324,1,0.0
3128272,1,0.0
170325,1,0.0
2224413,1,0.0
2893572,1,0.0
3035156,1,0.0
4493990,1,0.0
2657798,1,0.0
3646175,1,0.0
1813851,1,0.0
2878308,1,0.0
2937591,1,0.0
2811292,1,0.0
3169191,1,0.0
2643306,1,0.0
2621727,1,0.0
2993801,1,0.0
1783688,1,0.0
4113113,1,0.0
3452073,1,0.0
3452141,1,0.0
2967482,1,0.0
8310699,1,0.0
1805743,1,0.0
2985832,1,0.0
6545326,1,0.0
3024855,1,0.0
2791831,1,0.0
5928337,1,0.0
2563062,1,0.0
2646329,1,0.0
8273502,1,0.0
5427957,1,0.0
3179745,1,0.0
4826522,1,0.0
2653346,1,0.0
2641308,1,0.0
2995806,1,0.0
931070,1,0.0
3816075,1,0.0
1860341,1,0.0
2814592,1,0.0
6533368,1,0.0
2143003,1,0.0
2223198,1,0.0
2262744,1,0.0
2271096,1,0.0
8348082,1,0.0
3181757,1,0.0
4697442,1,0.0
3397886,1,0.0
2705075,1,0.0
3053760,1,0.0
5278141,1,0.0
2975921,1,0.0
480685,1,0.0
2985958,1,0.0
2168945,1,0.0
3209281,1,0.0
2633453,1,0.0
4813565,1,0.0
5180876,1,0.0
3172363,1,0.0
3019160,1,0.0
6067494,1,0.0
5815213,1,0.0
3066878,1,0.0
1258478,1,0.0
3164621,1,0.0
4602982,1,0.0
2654502,1,0.0
2748702,1,0.0
3448597,1,0.0
4870239,1,0.0
8348652,1,0.0
2890381,1,0.0
5036295,1,0.0
4735013,1,0.0
648953,1,0.0
1269094,1,0.0
736166,1,0.0
3170253,1,0.0
5290912,1,0.0
1549817,1,0.0
3573935,1,0.0
4772927,1,0.0
2828428,1,0.0
2802123,1,0.0
4103448,1,0.0
4498056,1,0.0
532615,1,0.0
3450376,1,0.0
3008759,1,0.0
1854028,1,0.0
2800790,1,0.0
2865376,1,0.0
2919232,1,0.0
2992402,1,0.0
5983175,1,0.0
10376352,1,0.0
1788269,1,0.0
3129169,1,0.0
2644382,1,0.0
3144534,1,0.0
