dg,cc_mean,cc_lower,cc_upper,n_samples
2.0,0.47138139790864064,0.45487066593285636,0.4878921298844249,3634
3.0,0.5776299112801013,0.5584600760456274,0.5964828897338403,2104
4.0,0.6117764471057884,0.5920381459303614,0.6309603016189842,1503
5.0,0.6308655032610612,0.6160232681121101,0.6457253657676714,1891
6.0,0.6315864850095163,0.6188449507226712,0.6442159911055836,2527
7.0,0.6346354166666667,0.6217936347926267,0.6472935267857142,1984
8.0,0.6351971018637684,0.6218883883883883,0.6483448686782021,1665
9.0,0.6419303987345224,0.6285425735013364,0.6552750231822396,1455
10.0,0.6421043741093555,0.6299116745645389,0.6541862967874797,1606
11.0,0.6491593326761943,0.6370889888577431,0.6612734275741846,1453
12.0,0.64602317464467,0.6353577095282703,0.6565233126491887,1712
13.0,0.6404354216487289,0.6291533593245923,0.6514566121708979,1533
14.0,0.6383136423676964,0.6270338729122513,0.6495731719380369,1369
15.0,0.6362550610101337,0.6255190432077089,0.646997843858676,1435
16.0,0.6317499831170088,0.620623902375663,0.6430072214408378,1278
17.0,0.6285338021456823,0.6169226270975458,0.6399958372062133,1191
18.0,0.6214649960065447,0.6108602409814791,0.6324664759789216,1354
19.0,0.6196774839130884,0.6086429546907496,0.6305942655441061,1237
20.0,0.6165648699052424,0.6061695837195883,0.6268161574158575,1307
21.0,0.6155264686579366,0.6050130204292524,0.6259358902629084,1212
22.0,0.613995577966679,0.603411816287654,0.6246550487846229,1145
23.0,0.6096733245270018,0.5988350608560058,0.6205513036536068,1071
24.0,0.6090062895163016,0.5987640262579543,0.6192646846502636,1187
25.0,0.6078383224453541,0.5981467376709623,0.6178882646043701,1200
26.0,0.6106350091689332,0.6004427378256435,0.6209866761867472,1131
27.0,0.6092170663281831,0.5994305548256593,0.6192367972614782,1075
28.0,0.6080704904311313,0.5980640532948626,0.6184073466945341,1017
29.0,0.6027952309073481,0.5925954482842468,0.6126617334276102,955
30.0,0.6009118787124068,0.5915523194495298,0.6102425624178538,1109
31.0,0.5998831551859589,0.59051473189098,0.6091333856109076,1054
32.0,0.5981349017830186,0.588388150656182,0.6076161013479742,1021
33.0,0.596196126249662,0.5865605877439062,0.6055994818950842,1007
34.0,0.5934529473578621,0.5834998680344148,0.6032855713611974,949
35.0,0.5938459625246177,0.5842979167150155,0.6032453115847997,964
36.0,0.5912384634526902,0.5818980182450293,0.6004958632036134,1029
37.0,0.5901419771939542,0.58072416320287,0.599355571713717,1008
38.0,0.5909295831272217,0.5811364587146048,0.6002357798042213,967
39.0,0.5909835044978224,0.5813913452652686,0.6008844641654728,932
40.0,0.5894414667800731,0.5799445194230733,0.5990025026859211,952
41.0,0.5865424290255675,0.5767217916010969,0.5962386953186023,918
42.0,0.5870078201342585,0.5774560755185564,0.5963547821100967,968
43.0,0.5845818126156282,0.5748730497023576,0.5941671971538501,918
44.0,0.5855594000965181,0.5759915822993675,0.5951159015374494,901
45.0,0.5825298687844624,0.5730489985920518,0.5922054496379116,911
46.0,0.5799342692225737,0.5701776661542093,0.5896769995207723,871
47.0,0.5793072122259267,0.5696527447426105,0.5890235366004409,830
48.0,0.5792243348093064,0.5696402229759638,0.5889985951348061,871
49.0,0.5793371457157317,0.5696785680478594,0.5888917863806314,853
50.0,0.5753369882822288,0.5657216642581511,0.5849778742285775,876
51.0,0.5742162363390771,0.5643661064036879,0.5841605984576356,854
52.0,0.5761562587846006,0.5664277460790427,0.5861128744302473,827
53.0,0.5747413084792642,0.5648091581585042,0.5847950246580049,791
54.0,0.5744938152757538,0.5649304706266025,0.5841977279182439,821
55.0,0.5736435122532542,0.5639450102662686,0.5832289481614851,828
56.0,0.569759499166755,0.5601377552416135,0.579316253926711,825
57.0,0.569656925891022,0.5600017292067034,0.5796721523096835,804
