cid1,cid2,flown_top,flown_all,top_ratio
0,0,379955,681623,0.5574269060756459
0,1,32954,44718,0.7369292007692652
0,2,26934,41918,0.642540197528508
0,3,6775,9605,0.7053617907339927
0,4,7482,12371,0.6048015520168135
0,5,4996,6662,0.7499249474632242
0,6,8701,12991,0.6697713801862828
0,7,4143,5752,0.7202712100139083
0,8,9057,13338,0.6790373369320738
0,9,34723,52086,0.6666474676496563
0,10,13991,19760,0.7080465587044534
0,11,1751,2892,0.6054633471645919
0,12,6731,10983,0.6128562323591005
0,13,2897,4672,0.6200770547945206
1,0,33472,45621,0.7336972008504855
1,1,166049,319546,0.519640364767514
1,2,26268,38914,0.6750269825769646
1,3,10823,16216,0.6674272323630982
1,4,6924,10599,0.6532691763373903
1,5,7063,10111,0.6985461378696469
1,6,2959,4595,0.6439608269858542
1,7,2795,4156,0.6725216554379211
1,8,2888,4924,0.586515028432169
1,9,8288,12104,0.6847323198942499
1,10,5654,8240,0.6861650485436893
1,11,808,1357,0.5954310980103169
1,12,700,1894,0.36958817317845827
1,13,308,507,0.6074950690335306
2,0,28932,44910,0.6442217768871076
2,1,29149,42822,0.680701508570361
2,2,132047,272639,0.4843290945169253
2,3,5657,9362,0.6042512283700064
2,4,5357,8151,0.6572199730094467
2,5,4797,6752,0.7104561611374408
2,6,2488,5091,0.4887055588293066
2,7,2441,3599,0.6782439566546263
2,8,2746,5634,0.48739794107206247
2,9,12419,18489,0.6716966845151171
2,10,7391,11657,0.6340396328386377
2,11,502,1352,0.371301775147929
2,12,820,2187,0.37494284407864653
2,13,433,793,0.5460277427490542
3,0,7633,11025,0.6923356009070295
3,1,11009,16823,0.6544017119419842
3,2,5408,9268,0.5835131635735865
3,3,38396,97296,0.3946308172997862
3,4,2828,4717,0.5995336018655926
3,5,2405,3364,0.714922711058264
3,6,597,946,0.63107822410148
3,7,1272,1992,0.6385542168674698
3,8,764,1308,0.5840978593272171
3,9,1436,2425,0.5921649484536082
3,10,2385,3710,0.6428571428571429
3,11,111,211,0.5260663507109005
3,12,149,611,0.24386252045826515
3,13,60,129,0.46511627906976744
4,0,8092,13096,0.6178985949908369
4,1,7289,11108,0.6561937342455888
4,2,4927,7317,0.6733634003006697
4,3,2549,4250,0.599764705882353
4,4,25492,81383,0.31323495078824815
4,5,1744,2594,0.6723207401696222
4,6,243,421,0.5771971496437055
4,7,1863,3741,0.49799518845228546
4,8,210,413,0.5084745762711864
4,9,402,668,0.6017964071856288
4,10,1054,1804,0.5842572062084257
4,11,39,77,0.5064935064935064
4,12,50,112,0.44642857142857145
4,13,22,46,0.4782608695652174
5,0,5610,7441,0.7539309232630023
5,1,8095,11600,0.6978448275862069
5,2,4903,6883,0.7123347377596978
5,3,2480,3506,0.7073588134626355
5,4,1928,2895,0.6659758203799655
5,5,28214,65817,0.4286734430314357
5,6,308,495,0.6222222222222222
5,7,613,916,0.6692139737991266
5,8,217,314,0.6910828025477707
5,9,458,683,0.6705710102489019
5,10,606,922,0.6572668112798264
5,11,70,135,0.5185185185185185
5,12,51,113,0.45132743362831856
5,13,23,37,0.6216216216216216
6,0,12078,17776,0.6794554455445545
6,1,4164,6354,0.6553352219074599
6,2,3580,7500,0.47733333333333333
6,3,769,1226,0.6272430668841762
6,4,352,659,0.5341426403641881
