city1,city2,flown,net_distance
1,1,103,0.0
1,2,138,-64.56682979299802
1,3,159,-380.3526611285296
1,4,175,170.59990097053026
1,5,242,-244.257424483181
1,6,374,303.2361604137093
1,7,485,38.58722333447713
1,8,595,149.60786902565155
1,9,684,347.61049042679554
1,10,408,207.80905562469843
1,11,105,-166.91525563770165
2,1,154,64.56682979299802
2,2,415,0.0
2,3,445,25.366753888899268
2,4,554,-163.71544072844483
2,5,795,-24.20422559341364
2,6,1144,34.73422417170343
2,7,1477,-2.926218877501128
2,8,1971,-27.96548708095952
2,9,2339,73.37360514689817
2,10,1349,59.48337426020635
2,11,360,79.65521221446079
3,1,161,380.3526611285296
3,2,457,-25.366753888899268
3,3,658,0.0
3,4,1118,-141.23457929931612
3,5,1349,3.40242096971258
3,6,2135,-15.150371710665922
3,7,2674,-82.36412032117278
3,8,3539,-62.61589017344568
3,9,4540,48.62310897570774
3,10,2561,201.72794495692528
3,11,804,8.675115156759603
4,1,180,-170.59990097053026
4,2,591,163.71544072844483
4,3,1031,141.23457929931612
4,4,1767,0.0
4,5,2907,26.206436388283578
4,6,4459,120.51878423293556
4,7,6074,19.3825197910935
4,8,7750,18.754224194734434
4,9,10033,27.339262374408236
4,10,5965,121.03606933220112
4,11,1834,-164.2062849763097
5,1,273,244.257424483181
5,2,886,24.20422559341364
5,3,1467,-3.40242096971258
5,4,3067,-26.206436388283578
5,5,5420,0.0
5,6,8726,-4.707631000268748
5,7,12719,-32.23947770546056
5,8,15521,20.853468403904344
5,9,21987,38.413079960890855
5,10,13371,167.17005734372742
5,11,3876,223.31878553881097
6,1,497,-303.2361604137093
6,2,1375,-34.73422417170343
6,3,2344,15.150371710665922
6,4,5028,-120.51878423293556
6,5,9792,4.707631000268748
6,6,17077,0.0
6,7,25166,6.769368350504919
6,8,31760,-22.374976939529688
6,9,47583,84.31829682973739
6,10,30858,255.88943165439832
6,11,9881,292.6507513429051
7,1,648,-38.58722333447713
7,2,2037,2.926218877501128
7,3,3508,82.36412032117278
7,4,7826,-19.3825197910935
7,5,15903,32.23947770546056
7,6,28140,-6.769368350504919
7,7,44082,0.0
7,8,58874,19.981918600340123
7,9,84365,21.009098395476485
7,10,63068,200.69435421002845
7,11,19600,274.8675213070569
8,1,824,-149.60786902565155
8,2,2706,27.96548708095952
8,3,4970,62.61589017344568
8,4,10921,-18.754224194734434
8,5,20531,-20.853468403904344
8,6,37710,22.374976939529688
8,7,64576,-19.981918600340123
8,8,99891,0.0
8,9,159556,27.026738750399545
8,10,122557,219.91451569151604
8,11,42866,226.53555155434742
9,1,1091,-347.61049042679554
9,2,3339,-73.37360514689817
9,3,6322,-48.62310897570774
9,4,13702,-27.339262374408236
9,5,29348,-38.413079960890855
9,6,58603,-84.31829682973739
9,7,96273,-21.009098395476485
9,8,169297,-27.026738750399545
9,9,279744,0.0
9,10,238491,42.729049174975444
9,11,87148,107.56668216497201
10,1,541,-207.80905562469843
10,2,1696,-59.48337426020635
10,3,3358,-201.72794495692528
10,4,7813,-121.03606933220112
10,5,17016,-167.17005734372742
10,6,38729,-255.88943165439832
10,7,75974,-200.69435421002845
10,8,137027,-219.91451569151604
10,9,239338,-42.729049174975444
10,10,237844,0.0
10,11,124072,33.39604287700922
11,1,129,166.91525563770165
11,2,414,-79.65521221446079
11,3,890,-8.675115156759603
11,4,2119,164.2062849763097
11,5,4706,-223.31878553881097
11,6,12110,-292.6507513429051
11,7,23303,-274.8675213070569
11,8,47931,-226.53555155434742
11,9,90996,-107.56668216497201
11,10,127963,-33.39604287700922
11,11,63542,0.0
