city1,city2,flown,net_flown
1,1,103,0
1,2,138,-16
1,3,159,-2
1,4,175,-5
1,5,242,-31
1,6,374,-123
1,7,485,-163
1,8,595,-229
1,9,684,-407
1,10,408,-133
1,11,105,-24
2,1,154,16
2,2,415,0
2,3,445,-12
2,4,554,-37
2,5,795,-91
2,6,1144,-231
2,7,1477,-560
2,8,1971,-735
2,9,2339,-1000
2,10,1349,-347
2,11,360,-54
3,1,161,2
3,2,457,12
3,3,658,0
3,4,1118,87
3,5,1349,-118
3,6,2135,-209
3,7,2674,-834
3,8,3539,-1431
3,9,4540,-1782
3,10,2561,-797
3,11,804,-86
4,1,180,5
4,2,591,37
4,3,1031,-87
4,4,1767,0
4,5,2907,-160
4,6,4459,-569
4,7,6074,-1752
4,8,7750,-3171
4,9,10033,-3669
4,10,5965,-1848
4,11,1834,-285
5,1,273,31
5,2,886,91
5,3,1467,118
5,4,3067,160
5,5,5420,0
5,6,8726,-1066
5,7,12719,-3184
5,8,15521,-5010
5,9,21987,-7361
5,10,13371,-3645
5,11,3876,-830
6,1,497,123
6,2,1375,231
6,3,2344,209
6,4,5028,569
6,5,9792,1066
6,6,17077,0
6,7,25166,-2974
6,8,31760,-5950
6,9,47583,-11020
6,10,30858,-7871
6,11,9881,-2229
7,1,648,163
7,2,2037,560
7,3,3508,834
7,4,7826,1752
7,5,15903,3184
7,6,28140,2974
7,7,44082,0
7,8,58874,-5702
7,9,84365,-11908
7,10,63068,-12906
7,11,19600,-3703
8,1,824,229
8,2,2706,735
8,3,4970,1431
8,4,10921,3171
8,5,20531,5010
8,6,37710,5950
8,7,64576,5702
8,8,99891,0
8,9,159556,-9741
8,10,122557,-14470
8,11,42866,-5065
9,1,1091,407
9,2,3339,1000
9,3,6322,1782
9,4,13702,3669
9,5,29348,7361
9,6,58603,11020
9,7,96273,11908
9,8,169297,9741
9,9,279744,0
9,10,238491,-847
9,11,87148,-3848
10,1,541,133
10,2,1696,347
10,3,3358,797
10,4,7813,1848
10,5,17016,3645
10,6,38729,7871
10,7,75974,12906
10,8,137027,14470
10,9,239338,847
10,10,237844,0
10,11,124072,-3891
11,1,129,24
11,2,414,54
11,3,890,86
11,4,2119,285
11,5,4706,830
11,6,12110,2229
11,7,23303,3703
11,8,47931,5065
11,9,90996,3848
11,10,127963,3891
11,11,63542,0
