cityid,degree,outdegree,indegree
3445350,1,1,0
2300749,1,1,0
2953516,1,1,0
2992654,1,1,0
1619434,1,1,0
2268789,1,1,0
3540885,1,1,0
3180029,1,1,0
2983135,1,1,0
2752441,1,1,0
6535414,1,1,0
3025496,1,1,0
2977063,1,1,0
2852218,1,1,0
4351184,1,1,0
691650,1,1,0
2639265,1,1,0
3472473,1,1,0
4161178,1,1,0
2830452,1,1,0
2999180,1,1,0
4065552,1,1,0
3006320,1,1,0
2953394,1,1,0
3029637,1,1,0
666395,1,1,0
4314295,1,1,0
5214814,1,1,0
8378910,1,1,0
455260,1,1,0
4072339,1,1,0
2640246,1,1,0
2522333,1,1,0
747482,1,1,0
2354176,1,1,0
136773,1,1,0
2975558,1,1,0
2666751,1,1,0
2984741,1,1,0
2613939,1,1,0
3167363,1,1,0
2634478,1,1,0
2791733,1,1,0
2699791,1,1,0
5461879,1,1,0
793142,1,1,0
2145404,1,1,0
3471665,1,1,0
295226,1,1,0
4837232,1,1,0
3097528,1,1,0
3187464,1,1,0
3181142,1,1,0
3174416,1,1,0
2991086,1,1,0
2076674,1,1,0
3064015,1,1,0
5812177,1,1,0
5793271,1,1,0
3679660,1,1,0
5445479,1,1,0
2051523,1,1,0
295758,1,1,0
3017167,1,1,0
3179584,1,1,0
2064553,1,1,0
4965079,1,1,0
3175298,1,1,0
4270001,1,1,0
3022301,1,1,0
3063033,1,1,0
3388341,1,1,0
2644086,1,1,0
2643661,1,1,0
4497622,1,1,0
3088192,1,1,0
758682,1,1,0
326036,1,1,0
2907459,1,1,0
2504755,1,1,0
2789794,1,1,0
8310138,1,1,0
2525075,1,1,0
5955777,1,1,0
5181390,1,1,0
5807678,1,1,0
2997590,1,1,0
1685378,1,1,0
3168703,1,1,0
8264691,1,1,0
1252840,1,1,0
2265888,1,1,0
4336153,1,1,0
3119584,1,1,0
5188743,1,1,0
3655141,1,1,0
3372588,1,1,0
3113734,1,1,0
2995991,1,1,0
3119822,1,1,0
3165063,1,1,0
2151057,1,1,0
3172948,1,1,0
3533475,1,1,0
3451263,1,1,0
3112154,1,1,0
2978444,1,1,0
1737714,1,1,0
2997371,1,1,0
2978056,1,1,0
1270787,1,1,0
1522348,1,1,0
2327650,1,1,0
4503299,1,1,0
7510997,1,1,0
3176946,1,1,0
2750795,1,1,0
6693657,1,1,0
4573209,1,1,0
2787352,1,1,0
2657568,1,1,0
2419992,1,1,0
5201688,1,1,0
5906757,1,1,0
2867471,1,1,0
3394661,1,1,0
3690577,1,1,0
3187428,1,1,0
3173408,1,1,0
3199071,1,1,0
548602,1,1,0
3018066,1,1,0
2271162,1,1,0
3530839,1,1,0
1702540,1,1,0
2983357,1,1,0
3204182,1,1,0
5688397,1,1,0
3457697,1,1,0
2833139,1,1,0
5862590,1,1,0
1810614,1,1,0
6147353,1,1,0
2127731,1,1,0
2143131,1,1,0
2926912,1,1,0
5129147,1,1,0
2967310,1,1,0
5381002,1,1,0
2875067,1,1,0
1649824,1,1,0
965241,1,1,0
5013961,1,1,0
4402452,1,1,0
2784813,1,1,0
3196792,1,1,0
597231,1,1,0
5201117,1,1,0
2640825,1,1,0
5584200,1,1,0
1632978,1,1,0
2034137,1,1,0
4174600,1,1,0
2649377,1,1,0
5870294,1,1,0
5133545,1,1,0
2645461,1,1,0
1831173,1,1,0
3170317,1,1,0
5264161,1,1,0
1700925,1,1,0
1497276,1,1,0
303798,1,1,0
202326,1,1,0
3406996,1,1,0
1719683,1,1,0
3089612,1,1,0
3189386,1,1,0
3166656,1,1,0
2872375,1,1,0
3018749,1,1,0
3175980,1,1,0
2748106,1,1,0
5198203,1,1,0
4943227,1,1,0
2658464,1,1,0
2127820,1,1,0
2886382,1,1,0
2158874,1,1,0
3182607,1,1,0
2646976,1,1,0
2346561,1,1,0
3115907,1,1,0
1858794,1,1,0
2639820,1,1,0
3169253,1,1,0
3467760,1,1,0
3530531,1,1,0
1246007,1,1,0
1624725,1,1,0
3174141,1,1,0
5038045,1,1,0
2636670,1,1,0
3116653,1,1,0
5757477,1,1,0
730559,1,1,0
3354247,1,1,0
2979662,1,1,0
2659708,1,1,0
1265591,1,1,0
522942,1,1,0
1759486,1,1,0
5115258,1,1,0
3126899,1,1,0
8521719,1,1,0
3130128,1,1,0
3992857,1,1,0
4954923,1,1,0
8219837,1,1,0
1606386,1,1,0
1813855,1,1,0
12220591,1,1,0
2110793,1,1,0
8395541,1,1,0
1167622,1,1,0
3190055,1,1,0
5362994,1,1,0
1794479,1,1,0
1785655,1,1,0
1809153,1,1,0
2998322,1,1,0
3142060,1,1,0
